name,Team Ranking,Kills,Assists,Mobility (Driving),Mobility (Walking),DPS,Survival Time
StreetFreak,18,3,0,0,2.025101676,0.208512331,1352.438
Emailk,73,1,0,0,0.298655964,0.735785953,134.55
Mac418,7,5,0,1.679893909,1.627432468,0.271667968,1634.348
ThechosenoneLee,34,1,0,0,1.046951438,0.148435196,1010.542
NaKedxiang,14,2,0,0.804194382,1.345046652,0.121953895,1549.766
pdwoom,15,4,0,4.99609204,0.873678382,0.412975884,1208.303
731Bz,28,4,0,0.16082959,2.967993,0.350170548,1090.897
EddieYYYanG,10,1,0,0.001886658,3.602939426,0.066811514,1496.748
MuZi_CHiji,63,0,0,0,0.647104717,0.350635926,219.601
qinqinqinaide,16,0,0,0.790631015,0.90279867,0.06035698,1441.424
zhoudasheng0,19,1,0,0,2.4228368,0.160026897,1237.292
Kev_Lar98,84,1,0,0,0.519941602,0.910108576,109.877
Tohy-Leun,83,0,0,0,0.478815954,0.633206692,120.024
L3m0N_PL,76,0,0,0,1.133754005,0.496298199,171.268
Triple_B,93,0,0,0,0.575556209,0,107.609
BridegDi,1,12,0,3.864156736,1.776063769,0.625307096,1754.338
VR_Homey,53,0,0,0,1.259900013,0.117467403,502.267
El_Squeakiador,21,1,0,1.339011758,1.616599532,0.153640402,1256.18
blue-Knights151,97,0,0,0,0.156072615,0.750983431,83.89
Verylucky11,33,1,1,0.884278237,1.250202253,0.182998819,1016.4
xMcCarrickx,54,0,0,3.724317608,0.712307291,0,536.019
RangerKevin,10,0,0,0,1.547423341,0.03725334,1744.81
hanlin002,1,6,0,0,1.450381159,0.207281752,1963.511
KentaFujiwara07,67,0,0,0,1.202827391,0.362116992,215.4
Azk1991,42,1,0,1.313784053,2.523261688,0.201463143,729.662
ymhs123,8,2,0,0.707941072,1.477601799,0.146807499,1689.287
zettabomb,8,2,0,0,2.548058139,0.113642175,1759.91
akaRAINMAN,10,0,0,4.660718965,0.59554304,0.033633553,1665.004
xiaobaifen,88,0,0,0,0.414702694,0.500948767,131.75
ren0816,70,0,0,0,2.789521795,0,366.935
Trident-k1ng25,75,0,0,0,0,0,169.537
donana,64,0,0,0,0.18368171,0.479137145,98.093
quannengdong,73,0,0,0,0.36202789,0,204.735
