name,Team Ranking,Kills,Assists,Mobility (Driving),Mobility (Walking),DPS,Survival Time
Yulinshen,83,0,0,0,0.60338592,0.304701545,131.276
Loochie,27,1,0,0.85033521,1.645225117,0.039480228,1317.115
llqsmnz,9,1,0,0,2.533316806,0.116260129,1565.455
Cceline66,41,0,0,0,0.974465026,0,569.62
jinpaigeshou,11,1,1,1.004827856,2.056121648,0.112166538,1444.281
BrodieTh3Great,42,0,0,0,2.496932867,0.096406986,539.38
Rattlesnake-007,77,1,0,0,0.495962084,0.604532787,165.417
Sannet,49,1,0,3.086360993,1.810841273,0.511402004,353.929
huya-boy,76,0,0,0,0,0,148.222
DieDle,48,3,0,0,0.44174075,0.469597603,617.55
OvrDoseDnHAM,66,1,0,0,0.737821954,0.586042805,170.636
MucQAQ,77,0,0,0,0.919408211,0,165.336
Evil__God,78,0,0,0,0.348250692,0.214830215,144.3
ZHILEKUAIDIYUAN,17,3,0,2.964283383,1.554500171,0.219887596,1455.289
Rockerdlb,77,0,0,0,0.829915943,0.253438313,177.558
TheRealCurrent,53,0,0,1.256085421,0.947137624,0.260143522,361.339
laohuangsda,93,0,0,0,0,0,87.132
Iyokus,6,2,0,0,2.511711416,0.176982598,1717.683
AXDylan,6,1,0,0,1.666691684,0.123869915,1646.889
lzz1986,21,2,0,0.984260389,2.318777796,0.145489107,1367.8
duizhang666a,63,1,0,0,1.083775523,0.375152406,383.844
anangrygreekmob,40,2,0,0,1.115975026,0.357344492,752.775
Luciferzhanggg,36,2,0,1.189045855,1.326440875,0.263487601,759.049
TouRu_,25,1,0,0,1.151197152,0.084171329,1188.053
PapaPeenu,33,0,0,3.454246277,1.682773894,0.030848156,1069.756
Graer,17,2,0,2.248926642,1.652357335,0.235943937,1178.246
Zazamat,17,4,0,0.140371012,2.196978903,0.310122337,1425.244
AaronRamsey16,44,0,0,0,1.825534612,0,636.592
NinjaX1,29,1,0,2.181197256,1.659821572,0.169880776,941.837
Hardunkichud,18,2,0,3.450547264,1.316502908,0.172846912,1376.941
Chu-pei,85,0,0,0,0.302365679,0.320624331,146.589
killwinner6,70,2,0,0,1.503686226,0.855691848,233.729
WisdomYy,51,1,0,0,0.782892834,0.330563645,444.695
Kirito19960626,59,0,0,0,1.301820763,0,326.712
Encryption29,64,0,0,0,1.063065681,0.363281574,192.688
CCTVanqi,71,0,0,0,2.097019789,0.384108106,216.085
monvjiejie,6,1,0,0,2.924886407,0.056383462,1755.834
marsli_1983,10,0,0,0,1.124022508,0.036561213,1613.732
jieunadidas,53,1,0,0,1.887160033,0.257253917,388.721
FOOTBALLBREAD6,43,0,0,0,2.822123996,0,719.7
HHZZYYCCJJ,68,0,0,0,0,0,916.757
LalisaaFanss,53,1,0,0,1.362926548,0.234676829,570.998
AAchinachiji,59,1,0,0,1.31820733,0.39041476,358.593
ZiLei007,88,0,0,0,0.753116813,0,128.718
mattdamonisalie,66,1,0,0,0.820010087,0.350491038,285.314
ctri_5408,24,0,0,0,2.147231178,0,1187.346
TRlBERUS,2,6,0,0,2.477417956,0.34509595,1816.886
PlsBeGentle,10,3,0,1.808251325,1.997015985,0.127231055,1634.821
TungDivine,29,3,1,0.768196041,1.1621577,0.370786552,970.909
Jewgan_Freeman,4,2,0,0.898836119,1.409800544,0.11314606,1785.303
Clarence-z,41,2,0,0,2.033017335,0.337581369,607.261
Imxiaoxiao,82,0,0,0,0.489074514,0,146.334
THECAROLER,78,0,0,0,0.642043871,0.285869472,104.943
Szz-3-,63,1,0,0,1.02009437,0.971568376,226.438
BetterWBacon,35,1,0,3.384710516,1.353498286,0.34257714,750.196
888232,45,0,0,0,3.857785254,0,815.922
f0ol1o,83,0,0,0,0.299559189,0,117.624
Linguofeng111,73,0,0,0,0.448196494,0.364389234,181.125
V-SPACE,77,0,0,0,0.233241002,0,113.36
phenomenalpond8,53,0,0,0,1.669237976,0,186.019
AK-wolf,37,0,0,0,1.629126255,0,1007.09
CND_BBQ20Tap,17,4,0,1.084842199,1.827728496,0.256027642,1410.004
Dave-007,30,2,0,0.009919261,1.750764244,0.234641936,1001.526
Yehenara_Aneles,47,0,0,0,0.979608251,0.022638354,750.938
nvpengyounaiwo,6,5,1,2.957732221,1.58510049,0.287515536,1669.475
zhengxiangyi,70,0,0,0,0.56962747,0,332.22
monkeysgorawr,48,0,0,0.002501356,1.276630495,0.045015896,710.86
BabyRenee,22,3,0,0,1.224184138,0.234693578,1158.958
LiquidBread,5,3,0,0.38814779,1.434033905,0.220587111,1831.476
LDSbbg,56,0,0,0,1.081950329,0,503.915
Kashmeoutside,98,0,0,0,0.068928935,0,87.315
go-Kiii,86,0,0,0,0.170602288,0,96.06
mxl-yx,35,1,0,0,2.031420211,0.302779591,802.564
Bowsparrow117,45,3,0,3.037306548,1.811656628,0.614744782,505.901
paopaolong797,74,0,0,0,0.524206848,0,1103.981
KillerCanadian,53,0,0,1.07813975,5.592642787,0.217033395,456.151
PChariot,78,0,0,0,0.622400634,0,155.544
TPTian,62,1,1,0,1.472274282,0.553925783,225.662
Langing0,8,1,0,1.117212851,1.48511922,0.106858525,1506.665
Hellsxfist,36,2,0,0.725708825,0.585161128,0.24070517,830.892
3_JorJon_3,20,0,0,4.086566793,3.514992554,0.045655464,1314.191
YANGSUE01,81,1,0,0,1.219618183,1.636095298,118.575
Zloveeeeee,89,0,0,0,0.1721943,0,90.791
Assassinguy,56,0,0,0,0.729537145,0,223.18
CChinaAGCD,19,0,0,0,1.119324098,0.09452713,1195.424
Zemmer11,76,0,0,0,0,0,131.684
ChugMaster,22,2,0,0.057948779,1.405740802,0.177363206,1257.307
lc0503,62,0,0,0,0.924391036,0,162.614
MoxNoxRox,10,2,1,1.408295349,1.257871008,0.16484411,1474.12
Bauere,76,1,0,0,0.472311359,0.295853381,128.442
MrsStealYouDog,60,0,0,0,1.709442205,0.123117479,276.159
HX19861,41,0,0,0.002989678,2.790827208,0.05950457,739.439
ljw990119,51,0,0,0,0.535603228,0.218597851,352.245
zyl0703,51,1,0,0,3.138577972,0.305156225,327.701
wobuxiangqu,17,2,0,0,1.968482313,0.177335015,1528.181
